Brand,Model,CPU,GPU,RAM_GB,Storage_GB,Touchscreen,Weight_kg,Screen_Size_inch,Price_SGD
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4070,64,256,False,1.56,16.0,3626.78
Acer,Nitro 5,AMD Ryzen 9 8900HX,AMD Radeon 780M,32,1024,True,1.45,14.0,2992.42
Acer,Nitro 5,AMD Ryzen 5 8600H,NVIDIA RTX 4050,32,2048,False,1.34,14.0,2418.34
Acer,TravelMate P6,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,16,4096,True,1.18,13.3,2851.03
Acer,Predator Helios 300,Intel i7-14800H,NVIDIA RTX 4070,8,1024,True,1.31,14.0,3022.96
Acer,Aspire 5,Intel i9-14900HK,NVIDIA RTX 4080,32,256,False,3.34,17.3,3818.64
Acer,TravelMate P6,Intel i9-14900HK,NVIDIA RTX 4080,128,1024,True,1.11,13.3,4949.2
Acer,Predator Helios 300,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,True,1.29,13.3,2952.08
Acer,Swift 3,Intel i5-14500H,NVIDIA RTX 4050,64,4096,False,1.4,13.3,2850.76
Acer,Nitro 5,Intel Core Ultra 9 15700H,NVIDIA RTX 4070,16,2048,False,1.15,13.3,2837.13
Acer,Nitro 5,Intel i5-14600H,Intel Iris Xe,32,256,True,1.06,14.0,2114.88
Acer,Swift 3,Intel i5-14500H,Intel Iris Xe,8,1024,True,2.47,15.6,1898.71
Acer,Swift 3,Intel Core Ultra 7 15500H,NVIDIA RTX 4060,8,2048,True,1.6,16.0,2473.37
Acer,Predator Helios 300,AMD Ryzen 5 8600H,NVIDIA RTX 4050,64,512,True,1.34,14.0,2629.84
Acer,Predator Helios 300,Intel i5-14500H,NVIDIA RTX 3050,128,1024,False,1.39,14.0,2860.94
Acer,Aspire 5,Intel i7-14800H,NVIDIA RTX 4060,16,2048,True,1.68,16.0,2866.76
Acer,Predator Helios 300,Intel i5-14600H,NVIDIA RTX 4050,16,2048,False,2.89,17.3,2235.37
Acer,Nitro 5,Intel i7-14700H,NVIDIA RTX 4070,8,2048,False,2.89,17.3,3026.99
Acer,Swift 3,Intel Core Ultra 9 15700H,Intel Arc A750M,64,2048,True,2.27,15.6,2409.58
